Locus#	Freq. missing data
169	0.0377358
170	0.0188679
171	0.0314465
172	0
173	0.0251572
174	0.0503145
175	0.188679
176	0.0628931
177	0.0188679
178	0.0251572
179	0.0440252
180	0.0251572
181	0.176101
182	0.176101
183	0.0503145
184	0.0188679
185	0.0628931
186	0.0754717
187	0.0628931
188	0.106918
189	0.0125786
190	0.0503145
191	0.144654
192	0.144654
193	0.0880503
194	0.0314465
195	0.0188679
196	0.0125786
197	0.0440252
198	0.119497
199	0.0377358
200	0.0377358
201	0.0125786
202	0.00628931
203	0.119497
204	0.0251572
205	0.0314465
206	0.00628931
207	0.081761
208	0.0377358
209	0.0251572
210	0.0628931
211	0.0188679
212	0.0188679
213	0.0314465
214	0.0125786
215	0.0314465
216	0.0691824
217	0.0314465
218	0.00628931
219	0.0125786
220	0.0188679
221	0
222	0.0314465
223	0.00628931
224	0.0440252
225	0.106918
226	0.0188679
227	0.00628931
228	0.0754717
229	0.188679
230	0.0440252
231	0.132075
232	0.0188679
233	0.0125786
234	0.0566038
235	0.0125786
236	0.157233
237	0.157233
238	0.0440252
239	0.0314465
240	0.0314465
241	0.0188679
242	0.0251572
243	0.0377358
244	0.0691824
245	0.157233
246	0.169811
247	0.132075
248	0.0440252
249	0.0188679
250	0.0880503
251	0.0691824
252	0.0125786
253	0.0188679
254	0.0188679
255	0.0566038
256	0.0691824
257	0.0691824
258	0.113208
259	0.0503145
260	0.144654
261	0.0566038
262	0.0566038
263	0.0880503
264	0.0188679
265	0.0125786
266	0.0125786
267	0.0125786
268	0.0314465
269	0.0314465
270	0.0440252
271	0.0125786
272	0.0188679
273	0.0251572
274	0.0188679
275	0.0628931
276	0.081761
277	0.00628931
278	0.00628931
279	0.0188679
280	0.138365
281	0.0628931
282	0.0754717
283	0.0880503
284	0.0188679
285	0.0188679
286	0.0628931
287	0.00628931
288	0.0188679
289	0.00628931
290	0.0125786
291	0.0125786
292	0.0566038
293	0.0377358
294	0.0251572
295	0.0440252
296	0.0188679
297	0.00628931
298	0.0440252
299	0.0251572
300	0.0188679
301	0.0314465
302	0
303	0.0880503
304	0.0314465
305	0.0377358
306	0.176101
307	0.176101
308	0.0188679
309	0.144654
310	0.00628931
311	0.0314465
312	0.0440252
313	0.0251572
314	0.0188679
315	0.0314465
316	0.0125786
317	0.0188679
318	0.0251572
319	0.0188679
320	0.0943396
321	0.150943
322	0.0503145
323	0.150943
324	0.0125786
325	0.0314465
326	0.0566038
327	0.0566038
328	0.150943
329	0.081761
330	0.0125786
331	0.0691824
332	0.0125786
333	0.0125786
334	0.0377358
335	0.0251572
336	0.0880503
337	0.0125786
338	0.0188679
339	0.00628931
340	0.0628931
341	0.0188679
342	0.0628931
343	0.0188679
344	0.100629
345	0.0377358
346	0.0251572
347	0.0503145
348	0.0188679
349	0.0188679
350	0.0251572
351	0.0314465
352	0.0125786
353	0.150943
354	0.188679
355	0.0377358
356	0.00628931
357	0.0125786
358	0.132075
359	0.0125786
360	0.0125786
361	0.0566038
362	0.0251572
363	0.106918
364	0.0188679
365	0.0628931
366	0.0125786
367	0.0188679
368	0
369	0.00628931
370	0.00628931
371	0.113208
372	0.119497
373	0.0440252
374	0
375	0
376	0.0251572
377	0.0125786
378	0.00628931
379	0.0125786
380	0.00628931
381	0.0503145
382	0.100629
383	0.0188679
384	0.0125786
385	0.0503145
386	0.157233
387	0.0440252
388	0.0440252
389	0.0314465
390	0.0691824
391	0.0125786
392	0.0440252
393	0.00628931
394	0.0503145
395	0.0125786
396	0.0628931
397	0.0188679
398	0
399	0.169811
400	0.0125786
401	0.100629
402	0.0691824
403	0.0188679
404	0.0125786
405	0.081761
406	0.0251572
407	0.0314465
408	0.0188679
409	0.0125786
410	0.0251572
411	0.100629
412	0.18239
413	0.176101
414	0.0125786
415	0.0691824
416	0.0503145
417	0.0628931
418	0.0314465
419	0.0377358
420	0.0125786
421	0.144654
422	0.144654
423	0.0314465
424	0.0125786
425	0.0503145
426	0
427	0.0628931
428	0.169811
429	0.00628931
430	0.0251572
431	0.081761
432	0.0125786
433	0.0566038
434	0.176101
435	0.0251572
436	0.0440252
437	0.169811
438	0.0251572
439	0.0251572
440	0.0440252
441	0.0440252
442	0.0691824
443	0
444	0.0377358
445	0.0125786
446	0.00628931
447	0.0125786
448	0.0125786
449	0.0314465
450	0.0880503
451	0.0880503
452	0.081761
453	0.0754717
454	0.0251572
455	0.188679
456	0.150943
457	0.0251572
458	0.00628931
459	0.0188679
460	0.0251572
461	0.106918
462	0.0314465
463	0.0125786
464	0.0188679
465	0.0251572
466	0.0377358
467	0.138365
468	0.138365
469	0.0188679
470	0.0440252
471	0.00628931
472	0.0440252
473	0.081761
474	0.0314465
475	0.00628931
476	0.0125786
477	0.0566038
478	0.0125786
479	0
480	0.00628931
481	0.144654
482	0.0125786
483	0.0251572
484	0.0125786
485	0.00628931
486	0.0628931
487	0.106918
488	0.176101
489	0.0188679
490	0.0188679
491	0.0503145
492	0.081761
493	0.0251572
494	0.0440252
495	0.194969
496	0.0377358
497	0.0880503
498	0.0566038
499	0.0566038
500	0.0251572
501	0.150943
502	0.0125786
503	0.0125786
504	0.0377358
505	0.00628931
506	0.113208
507	0.0503145
508	0.0125786
509	0.119497
510	0.0628931
511	0
512	0.125786
513	0.125786
514	0.188679
515	0.0754717
516	0.125786
517	0.0314465
518	0.0503145
519	0.0188679
520	0.0691824
521	0.0880503
522	0.0188679
523	0
524	0.0314465
525	0.125786
526	0.0125786
527	0.0314465
528	0.00628931
529	0.176101
530	0.0691824
531	0.188679
532	0.0377358
533	0.0125786
534	0.0377358
535	0.0628931
536	0.0943396
537	0.0125786
538	0.0377358
539	0.0188679
540	0.0125786
541	0.176101
542	0.0880503
543	0.0188679
544	0.081761
545	0.081761
546	0.176101
547	0.132075
548	0.157233
549	0.00628931
550	0.0628931
551	0.113208
552	0.0314465
553	0.0628931
554	0.0188679
555	0.0188679
556	0.0125786
557	0.0251572
558	0.0125786
559	0.157233
560	0.0377358
561	0.138365
562	0
563	0.0125786
564	0.106918
565	0.0188679
566	0.0754717
567	0.00628931
568	0.0440252
569	0.176101
570	0.169811
571	0.169811
572	0.0503145
573	0.0503145
574	0.100629
575	0.0503145
576	0.0125786
577	0.0880503
578	0.0440252
579	0.0440252
580	0.119497
581	0.0943396
582	0.157233
583	0.0125786
584	0.0880503
585	0.00628931
586	0.0251572
587	0.0251572
588	0.100629
589	0.0251572
590	0.0251572
591	0.0188679
592	0.00628931
593	0.00628931
594	0.0314465
595	0.100629
596	0.163522
597	0.0251572
598	0.00628931
599	0.00628931
600	0.0188679
601	0.176101
602	0.00628931
603	0.0188679
604	0.0754717
605	0.00628931
606	0.119497
607	0.0503145
608	0.0754717
609	0.0566038
610	0.0125786
611	0.138365
612	0.138365
613	0.0125786
614	0.0503145
615	0.18239
616	0.0503145
617	0.0566038
618	0.169811
619	0.169811
620	0.0440252
621	0.0440252
622	0.0440252
623	0.0566038
624	0.0691824
625	0.0251572
626	0.0251572
627	0.081761
628	0.081761
629	0.0125786
630	0.0503145
631	0.0314465
632	0.163522
633	0
634	0.0125786
635	0.00628931
636	0.0188679
637	0.100629
638	0.100629
639	0.0251572
640	0.150943
641	0.00628931
642	0.0314465
643	0.0566038
644	0.0188679
645	0.132075
646	0.0880503
647	0.0566038
648	0.0377358
649	0.00628931
650	0.0691824
651	0.081761
652	0.0377358
653	0.0377358
654	0.0503145
655	0.194969
656	0.0125786
657	0.0566038
658	0.0440252
659	0.081761
660	0.188679
661	0.00628931
662	0.00628931
663	0.0251572
664	0.0188679
665	0.0754717
666	0.0125786
667	0.0503145
668	0.0125786
669	0.113208
670	0.0188679
671	0.106918
672	0.0377358
673	0.0628931
674	0.18239
675	0.150943
676	0.0251572
677	0.0188679
678	0.0125786
679	0.0943396
680	0.157233
681	0.157233
682	0.169811
683	0.18239
684	0.0440252
685	0.0377358
686	0
687	0
688	0.0691824
689	0.163522
690	0.0628931
691	0
692	0.00628931
693	0.119497
694	0
695	0.0377358
696	0.00628931
697	0.00628931
698	0.0188679
699	0.081761
700	0.0566038
701	0.0440252
702	0.0754717
703	0.00628931
704	0.0188679
705	0.00628931
706	0.157233
707	0.0691824
708	0.0691824
709	0.0377358
710	0.0314465
711	0.0188679
712	0.0125786
713	0.0880503
714	0.0188679
715	0.0188679
716	0.00628931
717	0
718	0
719	0.0377358
720	0.0440252
721	0.0251572
722	0
723	0.0125786
724	0.00628931
725	0.113208
726	0.0754717
727	0.138365
728	0.0125786
729	0.0377358
730	0.0251572
731	0.00628931
732	0.0188679
733	0
734	0.176101
735	0.0691824
736	0.0125786
737	0.0188679
738	0.0314465
739	0.081761
740	0.0691824
741	0.0503145
742	0.00628931
743	0.00628931
744	0.0188679
745	0.0188679
746	0.132075
747	0.138365
748	0.00628931
749	0.144654
750	0.150943
751	0.157233
752	0.0440252
753	0.113208
754	0.0125786
755	0.0125786
756	0.0251572
757	0.0251572
758	0.0440252
759	0.0503145
760	0.0943396
761	0.0125786
762	0.176101
763	0.0314465
764	0.0377358
765	0.00628931
766	0.0125786
767	0.0943396
768	0.0503145
769	0.0125786
770	0.0566038
771	0.0125786
772	0.0125786
773	0.138365
774	0.0251572
775	0.0314465
776	0.0125786
777	0.00628931
778	0.194969
779	0.0125786
780	0.0251572
781	0.144654
782	0.0188679
783	0.00628931
784	0.081761
785	0.0377358
786	0.00628931
787	0
788	0.00628931
789	0.0503145
790	0.0125786
791	0.0503145
792	0.0188679
793	0.0314465
794	0.0125786
795	0.0566038
796	0.0377358
797	0.0188679
798	0.0251572
799	0.0125786
800	0.0188679
801	0.0503145
802	0.0377358
803	0.0440252
804	0.00628931
805	0.0943396
806	0.0566038
807	0.0566038
808	0.0125786
809	0.0503145
810	0.0503145
811	0.0503145
812	0.0943396
813	0.106918
814	0.0440252
815	0.163522
816	0.0251572
817	0.0125786
818	0.0125786
819	0.0440252
820	0.0377358
821	0.0314465
822	0.138365
823	0
824	0.132075
825	0.125786
826	0.0251572
827	0.0880503
828	0.0251572
829	0.0314465
830	0.0188679
831	0.00628931
832	0.150943
833	0.150943
834	0.0880503
835	0.00628931
836	0.00628931
837	0.100629
838	0.163522
839	0.0314465
840	0.0503145
841	0.0628931
842	0.119497
843	0.0251572
844	0.0125786
845	0.0314465
846	0.0188679
847	0.0188679
848	0
849	0.0125786
850	0.0125786
851	0.00628931
852	0.00628931
853	0.0125786
854	0.194969
855	0.0880503
856	0.0377358
857	0.0188679
858	0.0440252
859	0.0440252
860	0.0691824
861	0.0503145
862	0.0440252
863	0.0943396
864	0
865	0.00628931
866	0.176101
867	0.176101
868	0.0440252
869	0.0125786
870	0.0314465
871	0.0566038
872	0.0566038
873	0.0880503
874	0.0440252
875	0.0251572
876	0.00628931
877	0.0125786
878	0.0628931
879	0.163522
880	0.0188679
881	0.0125786
882	0.0503145
883	0.0628931
884	0.0251572
885	0.138365
886	0.0125786
887	0.0503145
888	0.0188679
889	0.00628931
890	0.00628931
891	0.0440252
892	0.0566038
893	0.0628931
894	0.150943
895	0.0503145
896	0.0440252
897	0.00628931
898	0.0251572
899	0.0251572
900	0.0251572
901	0.0188679
902	0.00628931
903	0.0251572
904	0.119497
905	0.0188679
906	0.0943396
907	0.138365
908	0
909	0.0125786
910	0.169811
911	0.106918
912	0.0314465
913	0.00628931
914	0.081761
915	0.176101
916	0.176101
917	0.0314465
918	0.081761
919	0.00628931
920	0.0943396
921	0.0628931
922	0.0314465
923	0.0314465
924	0.00628931
925	0.0754717
926	0.0251572
927	0.113208
928	0.0188679
929	0.0377358
930	0.0251572
931	0.18239
932	0.18239
933	0.0566038
934	0.0251572
935	0
936	0.00628931
937	0.00628931
938	0.0251572
939	0.0314465
940	0.0251572
941	0.0125786
942	0.0251572
943	0.0628931
944	0.100629
945	0.100629
946	0.0125786
947	0.0691824
948	0.0566038
949	0.0251572
950	0.0188679
951	0
952	0.0440252
953	0.0188679
954	0.194969
955	0.194969
956	0.0880503
957	0.0188679
958	0.106918
959	0.132075
960	0.0251572
961	0.0691824
962	0.0691824
963	0.0691824
964	0.0188679
965	0
966	0.0691824
967	0.0314465
968	0.0566038
969	0.00628931
970	0.125786
971	0.132075
972	0.106918
973	0.0188679
974	0.18239
975	0.125786
976	0.100629
977	0.125786
978	0.0880503
979	0.0440252
980	0.0125786
981	0.100629
982	0.0503145
983	0.0251572
984	0.0188679
985	0.144654
986	0.00628931
987	0.00628931
988	0.0628931
989	0.0440252
990	0.0691824
991	0.081761
992	0.169811
993	0.0503145
994	0.0125786
995	0.0251572
996	0.0628931
997	0.0377358
998	0.0314465
999	0.0188679
1000	0.0377358
1001	0.0691824
1002	0.0691824
1003	0.0440252
1004	0
1005	0
1006	0.0251572
1007	0.0125786
1008	0.0314465
1009	0.00628931
1010	0.0691824
1011	0.0691824
1012	0.163522
1013	0.0440252
1014	0.138365
1015	0.144654
1016	0.0503145
1017	0.100629
1018	0
1019	0.169811
1020	0.0566038
1021	0
1022	0.188679
1023	0.188679
1024	0.119497
1025	0.113208
1026	0.150943
1027	0.144654
1028	0.0125786
1029	0.0251572
1030	0.00628931
1031	0.0125786
1032	0.0377358
1033	0.0440252
1034	0.132075
1035	0.176101
1036	0.176101
1037	0.0125786
1038	0.0188679
1039	0.0188679
1040	0.081761
1041	0.0503145
1042	0.0566038
1043	0.0943396
1044	0.0943396
1045	0.00628931
1046	0.113208
1047	0.188679
1048	0.0503145
1049	0.0503145
1050	0.0691824
1051	0.0628931
1052	0.106918
1053	0.0125786
1054	0.113208
1055	0.0691824
1056	0.125786
1057	0.0377358
1058	0.0503145
1059	0
1060	0.0188679
1061	0.0188679
1062	0.0251572
1063	0.106918
1064	0.0188679
1065	0.0377358
1066	0.0251572
1067	0.0125786
1068	0
1069	0.0440252
1070	0.119497
